Radius,Gravity,Pressure,Mass,Density,T_M2_min,T_M2_avg,T_M2_max
22800.0,-0.0443266370945598,5.660057917688233,3.452460786484871e+17,7000.0,1682.1875,1832.1875,1982.1875
22900.0,-0.0445223359177095,5.660026752053091,3.4981883011860506e+17,7000.0,1682.109375,1832.109375,1982.109375
23000.0,-0.0447180347571557,5.659995449428761,3.5443178140831834e+17,7000.0,1682.03125,1832.03125,1982.03125
23100.0,-0.0449137336126868,5.659964009815233,3.5908510844681555e+17,7000.0,1681.953125,1831.953125,1981.953125
23200.0,-0.0451094324840947,5.659932433212493,3.637789871632853e+17,7000.0,1681.875,1831.875,1981.875
23300.0,-0.045305131371175,5.659900719620533,3.6851359348691616e+17,7000.0,1681.796875,1831.796875,1981.796875
23400.0,-0.0455008302737269,5.659868869039341,3.732891033468968e+17,7000.0,1681.71875,1831.71875,1981.71875
23500.0,-0.0456965291915528,5.659836881468907,3.7810569267241574e+17,7000.0,1681.640625,1831.640625,1981.640625
23600.0,-0.0458922281244585,5.659804756909221,3.829635373926616e+17,7000.0,1681.5625,1831.5625,1981.5625
23700.0,-0.0460879270722531,5.65977249536027,3.8786281343682304e+17,7000.0,1681.484375,1831.484375,1981.484375
23800.0,-0.046283626034749,5.659740096822047,3.9280369673408864e+17,7000.0,1681.40625,1831.40625,1981.40625
23900.0,-0.0464793250117617,5.659707561294539,3.97786363213647e+17,7000.0,1681.328125,1831.328125,1981.328125
24000.0,-0.0466750240031097,5.659674888777737,4.0281098880468666e+17,7000.0,1681.25,1831.25,1981.25
24100.0,-0.0468707230086145,5.65964207927163,4.078777494363963e+17,7000.0,1681.171875,1831.171875,1981.171875
24200.0,-0.0470664220281006,5.659609132776211,4.129868210379645e+17,7000.0,1681.09375,1831.09375,1981.09375
24300.0,-0.0472621210613955,5.659576049291467,4.181383795385798e+17,7000.0,1681.015625,1831.015625,1981.015625
